Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2005,,,,,,,,,"<a href=""https://scalar.case.edu/freedman-fellowship-2023/student-fellowship-1"">Art the Mirror of Art</a>","incorporate extensive research-based learning and multi-media-based learning approaches  <a href=""https://scalar.case.edu/freedman-fellowship-2023/student-fellowship-1"">Art the Mirror of Art</a>",,,,,,,
2005,,,,,,,,,"<a href=""https://scalar.case.edu/freedman-fellowship-2023/research-on-central-asia"">Research on Central Asia</a>","Products of this prodcut will be set of guidlines about conducting research on the internet, serious research exercises, and an evaluation form.",,,,,,,
2005,,,,,,,,,Engaging Students Studying The History of English,"The development of series, courses, and modules that capitalize on print and online resources for the study of the English language",,,,,,,
2006,,,,,,,,,History of the English Language,A project asks students to explore the history of English by writing a report and giving a presentation,,,,,,,
2006,,,,,,,,,Introduction to Information Systems,Redesigning the MIDS 301 as a series of independent modules and tasks. Combine both teaching IT content and developing advanced skills connected to information consumption and production,,,,,,,
2006,,,,,,,,,CaseArc,Digitize the background information for a problem based on a famous nightclub fire,,,,,,,
2006,,,,,,,,,Cultures of Exhibition,Focus on questions of culture and textual display over the past 200 years,,,,,,,
2006,,,,,,,,,Literature and Culture: Technologies of the (virtual) Book,Asking students to use technological skills to investigate and think about the ways,,,,,,,
2006,,,,,,,,,Teaching Technical Communication ,"Seeking resources to fund the creation of student-produced, online tutorials that educate students and faculty on the use of software applications ",,,,,,,
2006,,,,,,,,,"Develop lab moducles have been implementing for courses COSI211, COSI421/321 and COSI453","Digitizing the lab modulces for couses COSI 211, COSI421/321, COSI 453",,,,,,,
2006,,,,,,,,,Musicals East and West,Provide valued time and assist in locating and digitizing visual images for the class,,,,,,,
2006,,,,,,,,,Cross-culture preparation using interactive computer modules : a tool for students planning overseas experience,"An interactive problem-based learning website addressing topics in international health, incorporating social, economic and cultural differences to simulate real-life experiences in the developoing world. ",,,,,,,
2006,,,,,,,,,Customer Relationship Management course,"Designing a new course on Customer Relationship Management (CRM), which lies at the intersection of IS and Marketing",,,,,,,
2006,,,,,,,,,Problem based learning Curriculum Innovation Project,A new approach that allows students to interactively search out the answers to medical and dental quations utilizing computer-based resources,,,,,,,
2006,,,,,,,,,Web-based Video-Modules for Religion Classes,Designing a website that facilitates learning about the religious traditions of India and about issues in the study of religion,,,,,,,
2006,,,,,,,,,China in Transformation and Globalization,"Identifying, selecting, and collecting potential materials. Process those materials and create a database-assisted website for the University Seminar ",,,,,,,
2007,,,,,,,,,Introduction to Art Hisotry,"Liven up the class through the use of new media, including film, music, and voice recordings, to set the material in a cultural context",,,,,,,
2007,,,,,,,,,Readings on Dance on Film,Aiding in integrating Pachyderm design into the heart of the new course. Work with UCITE specialists on issues of course mapping and assessment,,,,,,,
2007,,,,,,,,,ARTH 490 Visual Arts and the Museums,Students enter the museum profession to gain training in the intelligent and critical use of new media,,,,,,,
2007,,,,,,,,,Cross-culture preparation using interactive computer modules : a tool for students planning overseas experience,"This is a unique opportunity for students to research the background information needed to develop a module, as well as develop their technical expertise using the facilities and collections. ",,,,,,,
2007,,,,,,,,,Integrating exciting Contemporary research into Physics Education Teaching Levels,Integrating exciting contemporary research into physics education teach levels,,,,,,,
2007,,,,,,,,,GEOL/BIOL 307,"Improved online lecture/exam review, better organization of exciting enrichment material, and an improved focus on a research literature project",,,,,,,
2007,,,,,,,,,Digital & mass medical communication enable effective policy discussion ,Expand the set of communication modes that expose the students to and in doing. Engage them in contemporary and polemic policy action. ,,,,,,,
2007,,,,,,,,,Performance and Cognition : Introduction to the Cognitive Scince of Dance and Theatre,This course will look at ways of incorporating many of the insights of cognitive science into the existing work of theatre and performance scholarship,,,,,,,
2007,,,,,,,,,"USSY 274 Colors, Capes, and Characters",Let students do at least some original research to exercise their own critical thiking skills as well as provide them wiht an opportunity and add to the ongoing public dialogue on the subject,,,,,,,
2007,,,,,,,,,"Re-Design of ""Animal Consciousness and Cognition""","Asking students to complete a research project using data collection methods form biology and cognitive sciences, and develop a philosophical discussion based on the techniques they used and the resutls of their research.",,,,,,,
2007,,,,,,,,,Therapeutics Made Fun!,Providing students with a more directed yet highly nteractive contextualized online module to study therapeutic agents,,,,,,,
2007,,,,,,,,,Intellectual property,Activies include the posting and discussion of work in progress and eventually also a peer-reviewed open-access digital journal,,,,,,,
2007,,,,,,,,,China in Transformation and Globalization,Designing interactive models that students can use to illustrate and interpret the various social relationships.,,,,,,,
2007,,,,,,,,,Cultures of Exhibition,"Promoting students' engagement with KSL's special collections, retrospective research collections, and its mountain storage, fosters students' archival research skills, and cultivates and appreciation for the parinciples of digital literacy",,,,,,,
2008,,,,,,,,,Online Availability of GRE Physics Guided Study Materials,Using information technology to move this seminar course into an entirely online mode ,,,,,,,
2008,,,,,,,,,FSSO : 119 Philanthropy in America,"Redesigning SAGES first Seminar for FSSO 119 through which students will be able to use technology to conduct a more comparative and comprehensive assessment of how social needs, non-profit delivery systems, and philanthropic initiatives match up, both locally and globally",,,,,,,
2008,,,,,,,,,USSY 285 : The Documentary Impluse,Providing historical overview of documentary films from 1920 to the present,,,,,,,
2008,,,,,,,,,"Sheet Music and the Expansion of Music Commerce, 1890-1925",Investigating the exponential growth of the popular music industry in the United States from 1890 to 1925,,,,,,,
2008,,,,,,,,,Why do stock markets rise and fall?,studying the mood of the market by analyzing the text used to describe a day's market movements,,,,,,,
2009,,,,,,,,,Watteau's Paris : Arts and Intersection,"Summporting organization and dissemination of an annotated Digital archive entitled ""Watteau's Paris : Arts and Intersections""",,,,,,,
2009,,,,,,,,,A thing not beginning and not ending': Using digital tools to distant 5-read Gertrude Stein's The making of Americans,"The making of digitial morderism : knolwedge production in literary modernism and digital humanities. This study creates a new perspective on the making of americans (Paris, 1925) by Gertrude Stein",,,,,,,
2009,,,,,,,,,Buddhist Imaginative Worlds,Using multimedia technologies and digital tools to bring studnets a much richer cognitive and aesthetic experience and understanding of Buddhist traditions. ,,,,,,,
2009,,,,,,,,,Development of Interactive Web-based modules for teaching thermodynamics,Developing a module in collaboration with the Etomica project at the University of Buffalo. ,,,,,,,
2009,,,,,,,,,Teaching the use of multimedia presentation for chemical engineering undergraduates,Informing students on how to incorporate multimedia into their presentations,,,,,,,
2009,,,,,,,,,Use of digital Case for online conference proceedings,Creation of an online proceedings for the 2009 ESA meetings using digital Case. ,,,,,,,
2009,,,,,,,,,Post test and Evaluation of Client Modules,Creating student learning and patient education modules that are course specific,,,,,,,
2009,,,,,,,,,"Redesigning the curriculum for the seminars related to ""China in Modernization"" and ""China in Transformation and Globalization""",Helping students to increase their collaboration and engagement in the seminar-like courses through better class preparation and more significantly enhancing their writing skills,,,,,,,
2009,,,,,,,,,Developing a website in conjunction with a course CLSC 318/418,Publishing digital forms of Greek and Latin inscriptions found during the course of the Isparta Archaeological Survey,,,,,,,
2010,,,,,,,,,Redesigning of Russian Literature in Translation (RUSN 375 / WLIT 375),Creating an online learning portal with integrated multimedia technologies and digitial tools for a comprehensive exposure to textual and scholarly resources.,,,,,,,
2010,,,,,,,,,Redesigning the teaching methods for Human Anatomy in the Medical School Curricula,"Developing a musculoskeletal anatomy curriculum by integrating multimedia technology to make it more ""user-friendly"" and appealing to the students",,,,,,,
2010,,,,,,,,,Order and context : Storytelling and Digital Critique,"Designing an undergarduate SAGES Seminar, whose objective is to expolre the relationship between narrative form and contents and using multimedia technologies to develop novel ways of teaching and producing research writings. ",,,,,,,
2010,,,,,,,,,Create and disseminate podcasts incorporating aart and music,"Creating and disseminate podcasts incorporating art and music for use in (1) Interdisciplinary SAGES courses and a graduate musicology course, and (2) Professional presentations directed to both scholarly and general audiences",,,,,,,
2010,,,,,,,,,Promoting New Teaching and Learning Strategies,Create and publish a digital collection of multicultural ethnographic artifacts for use in teacher lesson plans,,,,,,,
2010,,,,,,,,,Audio Library of Speech Sound,Digitizing audio cassettes used in the research and graduate training,,,,,,,
2010,,,,,,,,,Communicating Science using multiple medias for an audience of first-year college students,"Designing, developing, and implementing a collaborative research project that communicates science using multiple media for an audience of first-year college students",,,,,,,
2010,,,,,,,,,"Understand the History of Burial Grounds, Shrines and altars ",Set up a virtual museum of the grotto to use in teaching a religious site from the point of view of material culture. APplies museum studies to religious studies,,,,,,,
2010,,,,,,,,,Making Multi-Sensory Experience through New Media,Exploring ways in which tape-recorded interviews can often supplement written records and lead to new scholarly discoveries,,,,,,,
2011,,,,,,,,,Visual Simulation of Magnetic Particle Agglomeration and Dynamics,Developing an existing digital simulation technique to predict phase diagrams and model self-assembly for magnetic particle systems,,,,,,,
2013,,,,,,,,,Digital database on high-altitude human biology,"This project is focused on implementing and storing a digitial database on high=altitude human biology. THe outcome will be a searchable, expandable eletronic database for research and scholarship that will have links to relevant online resources. ",,,,,,,
2013,,,,,,,,,Cartography as memory in Hiroshima Literature,"This project iuses geospatial information systems to map the textual place-designators from Ibuse Masuji's Black Rain onto maps of Hiroshima in the order to demonstrate how cartography functions as a form of historical memory, while alse generating an interactive digital platform for students to explore the landscape of a bygone city. ",,,,,,,
2013,,,,,,,,,Improving Online Information Access and Facilitating Virtual community on Global Sustainability Issues,"Further, develop the website for the University Seminar ""Green Transformation and Globalization"" which will facilitate more convenient access for enrolled students and promote online information excahnge among students and the academic community on global sustainability issues. ",,,,,,,
2013,,,,,,,,,Gotham Unbound : Historical Maps of New York Harbor,"It will help readers to absorb the book's (i.e. Gotham Unbound) emphasis on enviromental change, and add an interactive map tool that will allow viewers to see how the natural environment of New York has changed over time, essentially and digital version of those old plastic overlay maps",,,,,,,
2013,,,,,,,,,Una musa viandante para la lirica espanola,To significantly enhance and further develop a project for establishing connections between a traditional book monograph (Una musa viandante para la lirica espanola) and other digital resources,,,,,,,
2013,,,,,,,,,"Data collection from Mergent (Moody's) Digital Corporate Manuals for ""Institutional Memory - Are a Bank's Risk Taking and Capitalization Affected by the Bank's History?""",Examining whether past macroeconomic and bank-specific shocks experienced (and survived) by a bank affect its current risk-taking and capitalziation,,,,,,,
2013,,,,,,,,,Integral Online Platform for the Cuban Studies,Creating an online platform from where to access different online resources for Cuban studies,,,,,,,
2013,,,,,,,,,Assessment of Digital Educational Materials ,An investigation into the collection and analysis of assessment data in a serious game format that addresses both student academic performance and student game performance.,,,,,,,
2013,,,,,,,,,Chistopher Small Digital Archive,"Creating a digital archive of unpublished papers, notebooks, and letters of the internationally recognized scholar Chrisopher Small. It will consist of a basic web interface to facilitate continued scholarship related to small's work and ideas in many disciplines within music and beyond.",,,,,,,
2015,,,,,,,,,"""The End of EU Financial Regulatory Internationalism? Digitizing a Dataset and Enhancing Textual Analysis""","Increasing the impact of current research for scholars and policymakers by using Nvivo or another appropriate program to improve the analysis, presentation, and storage of the qualitative dataset as well as enhancing the sophistication of existing textual analysis ",,,,,,,
2015,,,,,,,,,Visualization of Transcending-scale Phenomena at the crossroad of science and art,"To support a focused effort on Scientific illustration, visualization and rendering of some important, transcending-scale phenomena in science and engineering such as the intriguing chladni figures (patterns) that occur in many systems, from macroscale to miscroscale",,,,,,,
2015,,,,,,,,,"Scribal Lives, Liberties, and the Pursuit of Texts","Produce an interactive map that would be searchable by author/scribe, manuscript, copies or being exemplar, together with a digitial archive created though Omeka",,,,,,,
2015,,,,,,,,,The Jew @ CWRU,"A website to serve as a resource for future researchers, including History or Religious Studies undergraduates. The site will feature digitized archival documents, images, video and audio, and interactive finding aids with accompanying explanatory essays. ",,,,,,,
2017,,,,,,,,,Dream Neighborhoods : Examining Cleveland's Refugee Housing Communities,This project uses the resources provided by the Freedman Center to study the public housing being built in the Cleveland community for its growing refugee population,,,,,,,
2017,,,,,,,,,Housing proximity to public services and resources affects community welfare,"This project will study the efects of public services, transportation, and education on the welfare of a community or neighborhood",,,,,,,
2017,,,,,,,,,Public Housing and Cleveland's Health : Impacts Over half a Decade Later,The purpose of this project is to explore and correlate the modern-day geographic health trends present in the city of Cleveland with the neighborhoods that have a high density of public housing ,,,,,,,
2017,,,,,,,,,Historical and Present Environmental Foresight in Cleveland,The aim of this project is to use the Ernst J. Bohn collection to determine Cleveland's historical and current environmental threat preparedness,,,,,,,
2018,,,,,,,,,Dynamics of Accidental Organization Formation in the Digital Age : An Exploratory Case Study,"The proposed project entails a case study about the largely accidental (e.g. not the founder's original intention) and very-rapid formation of the world's largest women's motorcycle organization. Specifically, the dynamics that lead to the formation of accidental organizations in the digital age will be explored, and the growth patterns visually mapped to discern possible patterns and indicators of organizational formation",,,,,,,
2018,,,,,,,,,"Accession, manipulation, and analysis of United States Patent data with the patentr R package","The purpose of this project is to develop an R programmatic interface that allows users to access, manipulate, and analyze patents in the public database provided by the United States Patent and Trademark Office (USPTO)",,,,,,,
2018,,,,,,,,,Roman Numismatic Digitization Project,"The purpose of this project is to take the Roman coin collection currently held in the KSL special collections and to identify, catalog, and digitize the catalog. ",,,,,,,
2018,,,,,,,,,Visualizing Textual Difference in H.G. Wells' The invisible Man,"This project will undertake the first steps in creating an online digital edition of H.G. Wells' The Invisible Man that will allow readers to compare textual differences between editions. Its goal will be to take both the 1897 pearson's weekly serialization of the novel (available in digitized form through the British Newspaper Archive project) and the 1897 Arthur C. Person British first edition of the text (a copy of which is available at the University of Akron) and to generate clean source texts from them, which will then be marked up via TEI to meet, at minimum, the standards outlined under Encoding Level 2 in the Text Encoding Initiative's Best Practices for TEI in Libraries. ",,,,,,,
2018,,,,,,,,,Preferences and SHared-Decisions Concerning Pre-Dialysis Treatment in Older African Americans with Advanced Chronic Kidney Disease,To understand patient preferences concerning pre-dialysis shared decision-making among older African American adults with advanced chronic kidney disease.,,,,,,,
2018,,,,,,,,,Social Media Analytics of Popular Female Evangelical Multimedia Personalities : Are they saying what they think they are?,"This project serves three objective:
1) attend the affect content analysis workshop; 
2) utilize this knowledge while performing topic modeling and sentiment analysis on Twitter feeds of the eight personalities; and 
3) synthesize knowledge gained from the workshop, digital analysis and tents of affect theory to present possible impact the eight personalities are having on consumers.",,,,,,,
2018,,,,,,,,,MatchMade,"Creating a unique service platform for both property developers and those seeking new housing by providing them with a virtual platform to both attract the retain talent.
It's a platform that matches community/building developers with tenants and vice versa to create a more sustainable and better connected community",,,,,,,
2018,,,,,,,,,An Analysis of Homelessness in Cleveland using GIS Technologies,"The project's purpose is to answer the following three questions:
1) Where is the homeless population located relative to where the resources, we have in place are?
2) What are the relationships between social/environmental factors and homelessness in our community?
3) Where are people being re-housed?",,,,,,,
2018,,,,,,,,,Racial protest and unrest in enighborhoods adjacent to CWRU,"In the climate of today it is easy to forget that history plays a large role in the attitudes and anger many people suppress. However, it is so important to look at history as a lesson of how we can do better. It is important to have the stories of the underserved and minority population told because they are so many times are overlooked. I am also interested in how Case was and is currently affected by the evironment around it.",,,,,,,
2018,,,,,,,,,Tension between CWRU students and university administration,"To study what kind of issues were raised by the students at that time and what made the student body unhappy about the university administration's decisions. Further, how the conflicts are resolved on the compus in America. Did the administration retrace its decisions or did the student bodies have to step down from its stand?",,,,,,,
2019,,,,,,,,,The Protective Role of Sibling Relationships Following Intimate partner violence exposure,"- https://scalar.case.edu/freedman-fellows/bender-2019-2020
- https://thedaily.case.edu/2019-20-freedman-student-fellows-announced/

This proposed project for the Freedman Fellowship - focuses on exploring the sibling's relationship following IPV exposure. ",,,,,,,
2019,,,,,,,,,Re-defining the food enviroment : the misdiagnosis of food inaccessibility,"- https://scalar.case.edu/freedman-fellows/bender-2019-2020
- https://thedaily.case.edu/2019-20-freedman-student-fellows-announced/

This project will utilize seccondary analysis of survey data and collection and analysis of new data using Spatial Video Geonarrative (SVGs) to incorporate both objective and spatial measures of the food environment and subjective measures of perceptions ",,,,,,,
2019,,,,,,,,,Mapping Cleveland's Music,"- https://scalar.case.edu/freedman-fellows/bender-2019-2020
- https://thedaily.case.edu/2019-20-freedman-student-fellows-announced/

The main task of this project was to go through a select amount of Goldmark's data and make sure it is consistent in format and ready to be analyzed. ",,,,,,,
2019,,,,,,,,,Building a searchable text data base of the United States Congressional Record,"This two-pronged poject aims to:
1) Develop a user-friendly R package permitting users to convert PDF documents into searchable text documents, and 
2) Build a text database of the United States Congressional Records from 1971 to 1994",,,,,,,
2019,,,,,,,,,Documenting Women's Suffrage at CWRU,"- https://scalar.case.edu/freedman-fellows/bender-2019-2020
- https://thedaily.case.edu/2019-20-freedman-student-fellows-announced/

This internship is interesting to me because I would like to learn how to better participate in the creation of works of digital scholarship. I believe that digital media makes historical scholarship accessible in a way that print media is not able to, offering a sense of dynamism to the field which can make historical topics engaging to people who might not regularly find them to the appealing",,,,,,,
2019,,,,,,,,,Student newspaper reporting on women's suffrage,"This internship is interesting to me because I would like to learn how to better participate in the creation of works of digital scholarship. I believe that digital media makes historical scholarship accessible in a way that print media is not able to, offering a sense of dynamism to the field which can make historical topics engaging to people who might not regularly find them to be appealing",,,,,,,
2020,,,,,,,,,Mapping Geographic Areas of Risk : Using GIS and Spatial Analytics to Understand the impart of Social Determinants of Health on PTSD Treatment Trajectories ,"- https://scalar.case.edu/freedman-fellows/bender-2019-2020
- https://thedaily.case.edu/2019-20-freedman-student-fellows-announced/

This project aims to examine the impact of partient neighborhood environemnts on PTSD treatment response by identifying geographic risk profiles predicitive of treatment response trajectoriesns ",,,,,,,
