Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2005,,,,,,,,,"<a href=""https://scalar.case.edu/freedman-fellowship-2023/student-fellowship-1"">Art the Mirror of Art</a>",,,,,,,,
2005,,,,,,,,,"<a href=""https://scalar.case.edu/freedman-fellowship-2023/research-on-central-asia"">Research on Central Asia</a>",,,,,,,,
2005,,,,,,,,,Engaging Students Studying The History of English,,,,,,,,
2006,,,,,,,,,History of the English Language,,,,,,,,
2006,,,,,,,,,Introduction to Information Systems,,,,,,,,
2006,,,,,,,,,CaseArc,,,,,,,,
2006,,,,,,,,,Cultures of Exhibition,,,,,,,,
2006,,,,,,,,,Literature and Culture: Technologies of the (virtual) Book,,,,,,,,
2006,,,,,,,,,Teaching Technical Communication ,,,,,,,,
2006,,,,,,,,,"Develop lab moducles have been implementing for courses COSI211, COSI421/321 and COSI453",,,,,,,,
2006,,,,,,,,,Musicals East and West,,,,,,,,
2006,,,,,,,,,Cross-culture preparation using interactive computer modules : a tool for students planning overseas experience,,,,,,,,
2006,,,,,,,,,Customer Relationship Management course,,,,,,,,
2006,,,,,,,,,Problem based learning Curriculum Innovation Project,,,,,,,,
2006,,,,,,,,,Web-based Video-Modules for Religion Classes,,,,,,,,
2006,,,,,,,,,China in Transformation and Globalization,,,,,,,,
2007,,,,,,,,,Introduction to Art Hisotry,,,,,,,,
2007,,,,,,,,,Readings on Dance on Film,,,,,,,,
2007,,,,,,,,,ARTH 490 Visual Arts and the Museums,,,,,,,,
2007,,,,,,,,,Cross-culture preparation using interactive computer modules : a tool for students planning overseas experience,,,,,,,,
2007,,,,,,,,,Integrating exciting Contemporary research into Physics Education Teaching Levels,,,,,,,,
2007,,,,,,,,,GEOL/BIOL 307,,,,,,,,
2007,,,,,,,,,Digital & mass medical communication enable effective policy discussion ,,,,,,,,
2007,,,,,,,,,Performance and Cognition : Introduction to the Cognitive Scince of Dance and Theatre,,,,,,,,
2007,,,,,,,,,"USSY 274 Colors, Capes, and Characters",,,,,,,,
2007,,,,,,,,,"Re-Design of ""Animal Consciousness and Cognition""",,,,,,,,
2007,,,,,,,,,Therapeutics Made Fun!,,,,,,,,
2007,,,,,,,,,Intellectual property,,,,,,,,
2007,,,,,,,,,China in Transformation and Globalization,,,,,,,,
2007,,,,,,,,,Cultures of Exhibition,,,,,,,,
2008,,,,,,,,,Online Availability of GRE Physics Guided Study Materials,,,,,,,,
2008,,,,,,,,,FSSO : 119 Philanthropy in America,,,,,,,,
2008,,,,,,,,,USSY 285 : The Documentary Impluse,,,,,,,,
2008,,,,,,,,,"Sheet Music and the Expansion of Music Commerce, 1890-1925",,,,,,,,
2008,,,,,,,,,Why do stock markets rise and fall?,,,,,,,,
2009,,,,,,,,,Watteau's Paris : Arts and Intersection,,,,,,,,
2009,,,,,,,,,A thing not beginning and not ending': Using digital tools to distant 5-read Gertrude Stein's The making of Americans,,,,,,,,
2009,,,,,,,,,Buddhist Imaginative Worlds,,,,,,,,
2009,,,,,,,,,Development of Interactive Web-based modules for teaching thermodynamics,,,,,,,,
2009,,,,,,,,,Teaching the use of multimedia presentation for chemical engineering undergraduates,,,,,,,,
2009,,,,,,,,,Use of digital Case for online conference proceedings,,,,,,,,
2009,,,,,,,,,Post test and Evaluation of Client Modules,,,,,,,,
2009,,,,,,,,,"Redesigning the curriculum for the seminars related to ""China in Modernization"" and ""China in Transformation and Globalization""",,,,,,,,
2009,,,,,,,,,Developing a website in conjunction with a course CLSC 318/418,,,,,,,,
2010,,,,,,,,,Redesigning of Russian Literature in Translation (RUSN 375 / WLIT 375),,,,,,,,
2010,,,,,,,,,Redesigning the teaching methods for Human Anatomy in the Medical School Curricula,,,,,,,,
2010,,,,,,,,,Order and context : Storytelling and Digital Critique,,,,,,,,
2010,,,,,,,,,Create and disseminate podcasts incorporating aart and music,,,,,,,,
2010,,,,,,,,,Promoting New Teaching and Learning Strategies,,,,,,,,
2010,,,,,,,,,Audio Library of Speech Sound,,,,,,,,
2010,,,,,,,,,Communicating Science using multiple medias for an audience of first-year college students,,,,,,,,
2010,,,,,,,,,"Understand the History of Burial Grounds, Shrines and altars ",,,,,,,,
2010,,,,,,,,,Making Multi-Sensory Experience through New Media,,,,,,,,
2011,,,,,,,,,Visual Simulation of Magnetic Particle Agglomeration and Dynamics,,,,,,,,
2013,,,,,,,,,Digital database on high-altitude human biology,,,,,,,,
2013,,,,,,,,,Cartography as memory in Hiroshima Literature,,,,,,,,
2013,,,,,,,,,Improving Online Information Access and Facilitating Virtual community on Global Sustainability Issues,,,,,,,,
2013,,,,,,,,,Gotham Unbound : Historical Maps of New York Harbor,,,,,,,,
2013,,,,,,,,,Una musa viandante para la lirica espanola,,,,,,,,
2013,,,,,,,,,"Data collection from Mergent (Moody's) Digital Corporate Manuals for ""Institutional Memory - Are a Bank's Risk Taking and Capitalization Affected by the Bank's History?""",,,,,,,,
